Participant,SnippetID,SurveyCL,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI
1,1,5,10,12,6,2,7,6
1,2,3,10,10,6,2,6,5
1,3,2,7,13,6,2,6,5
1,4,7,15,17,8,2,8,7
1,5,3,15,18,9,3,10,5
1,6,2,4,21,11,5,5,11
1,7,3,6,23,7,2,13,10
1,8,1,4,7,6,1,2,3
1,9,3,12,12,9,7,14,8
1,10,,15,23,9,3,10,8
1,11,7,10,27,11,2,5,6
1,12,6,5,17,7,3,8,6
1,13,4,8,16,6,3,7,5
2,1,6,10,12,6,2,7,6
2,2,6,10,10,6,2,6,5
2,3,7,7,13,6,2,6,5
2,4,8,15,17,8,2,8,7
2,5,3,15,18,9,3,10,5
2,6,4,4,21,11,5,5,11
2,7,1,6,23,7,2,13,10
2,8,3,4,7,6,1,2,3
2,9,3,12,12,9,7,14,8
2,10,7,15,23,9,3,10,8
2,11,5,10,27,11,2,5,6
2,12,6,5,17,7,3,8,6
2,13,3,8,16,6,3,7,5
3,1,3,10,12,6,2,7,6
3,2,5,10,10,6,2,6,5
3,3,4,7,13,6,2,6,5
3,4,5,15,17,8,2,8,7
3,5,7,15,18,9,3,10,5
3,6,3,4,21,11,5,5,11
3,7,6,6,23,7,2,13,10
3,8,2,4,7,6,1,2,3
3,9,3,12,12,9,7,14,8
3,10,7,15,23,9,3,10,8
3,11,6,10,27,11,2,5,6
3,12,3,5,17,7,3,8,6
3,13,3,8,16,6,3,7,5
4,1,5,10,12,6,2,7,6
4,2,5,10,10,6,2,6,5
4,3,5,7,13,6,2,6,5
4,4,6,15,17,8,2,8,7
4,5,5,15,18,9,3,10,5
4,6,4,4,21,11,5,5,11
4,7,5,6,23,7,2,13,10
4,8,4,4,7,6,1,2,3
4,9,3,12,12,9,7,14,8
4,10,7,15,23,9,3,10,8
4,11,5,10,27,11,2,5,6
4,12,5,5,17,7,3,8,6
4,13,5,8,16,6,3,7,5
5,1,5,10,12,6,2,7,6
5,2,5,10,10,6,2,6,5
5,3,3,7,13,6,2,6,5
5,4,6,15,17,8,2,8,7
5,5,5,15,18,9,3,10,5
5,6,4,4,21,11,5,5,11
5,7,5,6,23,7,2,13,10
5,8,4,4,7,6,1,2,3
5,9,4,12,12,9,7,14,8
5,10,,15,23,9,3,10,8
5,11,6,10,27,11,2,5,6
5,12,4,5,17,7,3,8,6
5,13,6,8,16,6,3,7,5
6,1,7,10,12,6,2,7,6
6,2,4,10,10,6,2,6,5
6,3,3,7,13,6,2,6,5
6,4,6,15,17,8,2,8,7
6,5,3,15,18,9,3,10,5
6,6,3,4,21,11,5,5,11
6,7,6,6,23,7,2,13,10
6,8,2,4,7,6,1,2,3
6,9,4,12,12,9,7,14,8
6,10,9,15,23,9,3,10,8
6,11,5,10,27,11,2,5,6
6,12,4,5,17,7,3,8,6
6,13,6,8,16,6,3,7,5
7,1,,10,12,6,2,7,6
7,2,3,10,10,6,2,6,5
7,3,3,7,13,6,2,6,5
7,4,4,15,17,8,2,8,7
7,5,5,15,18,9,3,10,5
7,6,2,4,21,11,5,5,11
7,7,4,6,23,7,2,13,10
7,8,3,4,7,6,1,2,3
7,9,3,12,12,9,7,14,8
7,10,4,15,23,9,3,10,8
7,11,3,10,27,11,2,5,6
7,12,3,5,17,7,3,8,6
7,13,2,8,16,6,3,7,5
8,1,5,10,12,6,2,7,6
8,2,5,10,10,6,2,6,5
8,3,4,7,13,6,2,6,5
8,4,7,15,17,8,2,8,7
8,5,5,15,18,9,3,10,5
8,6,6,4,21,11,5,5,11
8,7,5,6,23,7,2,13,10
8,8,4,4,7,6,1,2,3
8,9,4,12,12,9,7,14,8
8,10,6,15,23,9,3,10,8
8,11,7,10,27,11,2,5,6
8,12,5,5,17,7,3,8,6
8,13,5,8,16,6,3,7,5
9,1,8,10,12,6,2,7,6
9,2,4,10,10,6,2,6,5
9,3,4,7,13,6,2,6,5
9,4,3,15,17,8,2,8,7
9,5,5,15,18,9,3,10,5
9,6,2,4,21,11,5,5,11
9,7,4,6,23,7,2,13,10
9,8,2,4,7,6,1,2,3
9,9,1,12,12,9,7,14,8
9,10,9,15,23,9,3,10,8
9,11,5,10,27,11,2,5,6
9,12,4,5,17,7,3,8,6
9,13,2,8,16,6,3,7,5
10,1,5,10,12,6,2,7,6
10,2,3,10,10,6,2,6,5
10,3,2,7,13,6,2,6,5
10,4,5,15,17,8,2,8,7
10,5,4,15,18,9,3,10,5
10,6,4,4,21,11,5,5,11
10,7,4,6,23,7,2,13,10
10,8,3,4,7,6,1,2,3
10,9,3,12,12,9,7,14,8
10,10,6,15,23,9,3,10,8
10,11,5,10,27,11,2,5,6
10,12,3,5,17,7,3,8,6
10,13,6,8,16,6,3,7,5
11,1,2,10,12,6,2,7,6
11,2,2,10,10,6,2,6,5
11,3,2,7,13,6,2,6,5
11,4,2,15,17,8,2,8,7
11,5,5,15,18,9,3,10,5
11,6,3,4,21,11,5,5,11
11,7,3,6,23,7,2,13,10
11,8,2,4,7,6,1,2,3
11,9,1,12,12,9,7,14,8
11,10,6,15,23,9,3,10,8
11,11,2,10,27,11,2,5,6
11,12,2,5,17,7,3,8,6
11,13,2,8,16,6,3,7,5
12,1,8,10,12,6,2,7,6
12,2,6,10,10,6,2,6,5
12,3,8,7,13,6,2,6,5
12,4,3,15,17,8,2,8,7
12,5,4,15,18,9,3,10,5
12,6,2,4,21,11,5,5,11
12,7,7,6,23,7,2,13,10
12,8,2,4,7,6,1,2,3
12,9,1,12,12,9,7,14,8
12,10,9,15,23,9,3,10,8
12,11,3,10,27,11,2,5,6
12,12,2,5,17,7,3,8,6
12,13,2,8,16,6,3,7,5
13,1,5,10,12,6,2,7,6
13,2,5,10,10,6,2,6,5
13,3,6,7,13,6,2,6,5
13,4,5,15,17,8,2,8,7
13,5,4,15,18,9,3,10,5
13,6,3,4,21,11,5,5,11
13,7,3,6,23,7,2,13,10
13,8,1,4,7,6,1,2,3
13,9,2,12,12,9,7,14,8
13,10,6,15,23,9,3,10,8
13,11,4,10,27,11,2,5,6
13,12,3,5,17,7,3,8,6
13,13,3,8,16,6,3,7,5
14,1,3,10,12,6,2,7,6
14,2,4,10,10,6,2,6,5
14,3,3,7,13,6,2,6,5
14,4,4,15,17,8,2,8,7
14,5,5,15,18,9,3,10,5
14,6,3,4,21,11,5,5,11
14,7,6,6,23,7,2,13,10
14,8,3,4,7,6,1,2,3
14,9,3,12,12,9,7,14,8
14,10,8,15,23,9,3,10,8
14,11,5,10,27,11,2,5,6
14,12,5,5,17,7,3,8,6
14,13,4,8,16,6,3,7,5
15,1,4,10,12,6,2,7,6
15,2,2,10,10,6,2,6,5
15,3,3,7,13,6,2,6,5
15,4,5,15,17,8,2,8,7
15,5,4,15,18,9,3,10,5
15,6,2,4,21,11,5,5,11
15,7,5,6,23,7,2,13,10
15,8,2,4,7,6,1,2,3
15,9,2,12,12,9,7,14,8
15,10,6,15,23,9,3,10,8
15,11,2,10,27,11,2,5,6
15,12,2,5,17,7,3,8,6
15,13,2,8,16,6,3,7,5
16,1,3,10,12,6,2,7,6
16,2,4,10,10,6,2,6,5
16,3,3,7,13,6,2,6,5
16,4,4,15,17,8,2,8,7
16,5,8,15,18,9,3,10,5
16,6,3,4,21,11,5,5,11
16,7,5,6,23,7,2,13,10
16,8,2,4,7,6,1,2,3
16,9,2,12,12,9,7,14,8
16,10,7,15,23,9,3,10,8
16,11,5,10,27,11,2,5,6
16,12,4,5,17,7,3,8,6
16,13,2,8,16,6,3,7,5
17,1,5,10,12,6,2,7,6
17,2,2,10,10,6,2,6,5
17,3,5,7,13,6,2,6,5
17,4,5,15,17,8,2,8,7
17,5,7,15,18,9,3,10,5
17,6,4,4,21,11,5,5,11
17,7,6,6,23,7,2,13,10
17,8,1,4,7,6,1,2,3
17,9,2,12,12,9,7,14,8
17,10,7,15,23,9,3,10,8
17,11,4,10,27,11,2,5,6
17,12,4,5,17,7,3,8,6
17,13,3,8,16,6,3,7,5
18,1,8,10,12,6,2,7,6
18,2,8,10,10,6,2,6,5
18,3,7,7,13,6,2,6,5
18,4,5,15,17,8,2,8,7
18,5,7,15,18,9,3,10,5
18,6,7,4,21,11,5,5,11
18,7,7,6,23,7,2,13,10
18,8,7,4,7,6,1,2,3
18,9,8,12,12,9,7,14,8
18,10,5,15,23,9,3,10,8
18,11,8,10,27,11,2,5,6
18,12,6,5,17,7,3,8,6
18,13,6,8,16,6,3,7,5
19,1,1,10,12,6,2,7,6
19,2,3,10,10,6,2,6,5
19,3,2,7,13,6,2,6,5
19,4,3,15,17,8,2,8,7
19,5,3,15,18,9,3,10,5
19,6,3,4,21,11,5,5,11
19,7,3,6,23,7,2,13,10
19,8,3,4,7,6,1,2,3
19,9,2,12,12,9,7,14,8
19,10,5,15,23,9,3,10,8
19,11,2,10,27,11,2,5,6
19,12,2,5,17,7,3,8,6
19,13,3,8,16,6,3,7,5
20,1,7,10,12,6,2,7,6
20,2,3,10,10,6,2,6,5
20,3,4,7,13,6,2,6,5
20,4,6,15,17,8,2,8,7
20,5,5,15,18,9,3,10,5
20,6,3,4,21,11,5,5,11
20,7,7,6,23,7,2,13,10
20,8,3,4,7,6,1,2,3
20,9,2,12,12,9,7,14,8
20,10,7,15,23,9,3,10,8
20,11,5,10,27,11,2,5,6
20,12,5,5,17,7,3,8,6
20,13,4,8,16,6,3,7,5
21,1,7,10,12,6,2,7,6
21,2,1,10,10,6,2,6,5
21,3,1,7,13,6,2,6,5
21,4,3,15,17,8,2,8,7
21,5,5,15,18,9,3,10,5
21,6,3,4,21,11,5,5,11
21,7,8,6,23,7,2,13,10
21,8,4,4,7,6,1,2,3
21,9,1,12,12,9,7,14,8
21,10,9,15,23,9,3,10,8
21,11,3,10,27,11,2,5,6
21,12,7,5,17,7,3,8,6
21,13,4,8,16,6,3,7,5
22,1,2,10,12,6,2,7,6
22,2,2,10,10,6,2,6,5
22,3,2,7,13,6,2,6,5
22,4,2,15,17,8,2,8,7
22,5,1,15,18,9,3,10,5
22,6,3,4,21,11,5,5,11
22,7,5,6,23,7,2,13,10
22,8,2,4,7,6,1,2,3
22,9,2,12,12,9,7,14,8
22,10,8,15,23,9,3,10,8
22,11,4,10,27,11,2,5,6
22,12,3,5,17,7,3,8,6
22,13,3,8,16,6,3,7,5
