subject,ID,manual_cl,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold,eeg_cl_fzpz34,eeg_cl_fz34pz34,eeg_cl_fzpz
1,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,1.467699749430631,1.039010464692529,1.5507768799201245
1,2,3.0,10,10,6,2,6,5,10,10,6,2,4,9,1.5549090601789257,1.1968492804196558,1.9520889688063823
1,3,2.0,7,13,6,2,6,5,7,12,6,2,4,10,1.651434262760602,1.3088462801894019,1.8719100713012007
1,4,7.0,15,17,8,2,8,7,15,17,8,2,4,9,1.6506078912017967,1.2875405785112568,2.1572507668696934
1,5,3.0,15,18,9,3,10,5,15,18,9,3,5,10,1.8482984077064393,1.2427781079393523,2.090141745117342
1,6,2.0,4,21,5,4,5,11,4,20,11,5,4,13,1.3840134094737915,1.2183242346172376,1.5153750353348152
1,7,3.0,6,23,7,2,13,10,6,21,7,2,4,10,1.6996763236812258,1.3261978912883063,1.973991708114888
1,8,1.0,4,7,6,1,2,3,5,7,6,1,3,6,1.1898528148283833,0.9530091300105701,1.4853270185196796
1,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,1.37138613560967,1.1302499850626617,1.826821512517305
1,10,,15,23,9,3,10,8,15,23,9,3,4,11,1.3794356523659828,1.0348973818481841,2.089700094137193
1,11,7.0,10,27,11,2,5,6,10,27,11,2,4,12,1.7240790473113274,1.2983762655134896,1.7553194641783345
1,12,6.0,5,17,7,3,8,6,5,16,7,3,4,8,1.8912413599831839,1.493485881120339,2.3106954334810443
1,13,4.0,8,16,6,3,7,5,8,15,6,3,4,7,1.339794249686664,1.2354396156711804,1.4034066273169234
2,1,6.0,10,12,6,2,7,6,10,12,6,2,4,7,8.45204937441567,4.021107682875452,10.88515141788936
2,2,6.0,10,10,6,2,6,5,10,10,6,2,4,9,5.855806903762847,2.8982662685592846,7.91393720868048
2,3,7.0,7,13,6,2,6,5,7,12,6,2,4,10,9.066761450684474,4.1722342285146015,14.430973410304873
2,4,8.0,15,17,8,2,8,7,15,17,8,2,4,9,8.685516489476383,4.092619961994222,10.027467776641945
2,5,3.0,15,18,9,3,10,5,15,18,9,3,5,10,6.39964941023961,3.2047911155254014,10.91448549078711
2,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,8.059540470987042,3.5249282877100683,9.255051133075401
2,7,1.0,6,23,7,2,13,10,6,21,7,2,4,10,9.51843255756244,4.998246442387172,12.109948456326347
2,8,3.0,4,7,6,1,2,3,5,7,6,1,3,6,10.346800787268611,4.755146418226389,14.525090524529633
2,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,3.084070002755204,1.5368204486146269,4.684674464578876
2,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,9.093041743199883,3.9725304450181653,15.075287228488623
2,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,7.980200445526947,3.835856813547425,11.56872448818768
2,12,6.0,5,17,7,3,8,6,5,16,7,3,4,8,8.029815112355259,3.918606136048582,11.382377236133001
2,13,3.0,8,16,6,3,7,5,8,15,6,3,4,7,5.9376824323440145,3.0852600980374576,7.417733366786308
3,1,3.0,10,12,6,2,7,6,10,12,6,2,4,7,0.6947907359541142,0.6959184084628951,1.268442968455588
3,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,0.7021021105229183,0.7372520024121187,1.2364475126303736
3,3,4.0,7,13,6,2,6,5,7,12,6,2,4,10,0.841296546422985,0.8791656743955062,1.2726497725488726
3,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,0.6405085861084093,0.5876095835523574,0.7915688173990598
3,5,7.0,15,18,9,3,10,5,15,18,9,3,5,10,0.7298501177509077,0.8111625229288283,1.1325762194265498
3,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,0.5464780301567926,0.6398531717650905,0.8779583547373659
3,7,6.0,6,23,7,2,13,10,6,21,7,2,4,10,0.7340569219971353,0.8574151476330184,0.9850057917097863
3,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,0.42993289524195893,0.5731154275191975,0.6281969897178792
3,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,0.5332737983022022,0.5204387507452717,0.8038075407045385
3,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,0.8041319416872544,0.7623089163411022,1.0723749096683453
3,11,6.0,10,27,11,2,5,6,10,27,11,2,4,12,0.8179552868402221,0.7083152972285481,0.9668619615728825
3,12,3.0,5,17,7,3,8,6,5,16,7,3,4,8,0.8191070092038699,1.0142479034655385,1.0573645654382544
3,13,3.0,8,16,6,3,7,5,8,15,6,3,4,7,0.6122168465215359,0.6456422811902716,1.0502713862674131
4,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,0.8435727370410918,1.1374216917948436,0.6622934081491876
4,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,3.532675165136729,2.0295044607163484,4.635565908947349
4,3,5.0,7,13,6,2,6,5,7,12,6,2,4,10,2.687428529435673,1.907576846502916,3.1578839728166037
4,4,6.0,15,17,8,2,8,7,15,17,8,2,4,9,4.713271965925938,3.2312241968265485,4.81628935535251
4,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,2.6850686964359527,1.8948543836977112,3.195863885204845
4,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,4.056317458842496,2.9350656909059856,4.512324155210706
4,7,5.0,6,23,7,2,13,10,6,21,7,2,4,10,4.6351568496785704,2.815040671953234,5.2547191713003505
4,8,4.0,4,7,6,1,2,3,5,7,6,1,3,6,2.8705867924649846,1.888829945085218,4.07405911950141
4,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,3.635307518934248,2.2536617554102545,4.873550609904637
4,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,4.145657721128982,2.697543292004882,4.666730970381464
4,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,4.429746170982455,2.8693397647612846,5.35893057311967
4,12,5.0,5,17,7,3,8,6,5,16,7,3,4,8,3.56479715871919,2.256206608721615,3.5983636077380923
4,13,5.0,8,16,6,3,7,5,8,15,6,3,4,7,2.8657120136526135,2.007785700923546,3.5951643913472724
5,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,2.830323556386278,2.030818745339114,2.9493670424288676
5,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,2.970173632741804,2.5286615938132195,3.7519504747612635
5,3,3.0,7,13,6,2,6,5,7,12,6,2,4,10,4.806195704783897,3.6843934715589013,3.9991660236767768
5,4,6.0,15,17,8,2,8,7,15,17,8,2,4,9,4.72888048388752,3.61634223814614,4.787479325731929
5,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,6.297423926340355,4.405752904593735,6.749448382187436
5,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,2.4551958725375926,2.23695368788675,3.046685438541631
5,7,5.0,6,23,7,2,13,10,6,21,7,2,4,10,6.3683102637789135,4.075464042331242,5.992431421052377
5,8,4.0,4,7,6,1,2,3,5,7,6,1,3,6,2.9761883732566763,2.7650317787629386,2.7213755572646114
5,9,4.0,12,12,9,7,14,8,12,12,9,7,4,7,2.5303682100721527,2.4614940149126694,2.7906687722576224
5,10,,15,23,9,3,10,8,15,23,9,3,4,11,5.28649774405401,3.6968919153192856,5.029877971892875
5,11,6.0,10,27,11,2,5,6,10,27,11,2,4,12,3.691106181340845,2.8900439485863916,3.8729339443427193
5,12,4.0,5,17,7,3,8,6,5,16,7,3,4,8,2.4539619270494555,2.285980804662125,2.3768274944096293
5,13,6.0,8,16,6,3,7,5,8,15,6,3,4,7,2.4657682414158297,2.016951854064863,2.6740669710315466
6,1,7.0,10,12,6,2,7,6,10,12,6,2,4,7,1.8207004469726833,1.67854112314889,1.9464766831355411
6,2,4.0,10,10,6,2,6,5,10,10,6,2,4,9,1.7138741567019207,1.493533953609398,2.166347835800196
6,3,3.0,7,13,6,2,6,5,7,12,6,2,4,10,1.7580349275136067,1.602823291291719,1.8188714036252511
6,4,6.0,15,17,8,2,8,7,15,17,8,2,4,9,1.6079644663517063,1.5771225479850788,1.6699138739285238
6,5,3.0,15,18,9,3,10,5,15,18,9,3,5,10,1.3375615663363907,1.5476218784452007,1.472519540944045
6,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,1.451758471379705,1.3760441435494815,1.7514474197352157
6,7,6.0,6,23,7,2,13,10,6,21,7,2,4,10,1.940060688556774,1.9597070824727414,2.2371139668605635
6,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,1.4854121308303674,1.268017058210943,1.4351536904595106
6,9,4.0,12,12,9,7,14,8,12,12,9,7,4,7,1.7435984258898265,1.7291707591568064,1.7877551031392183
6,10,9.0,15,23,9,3,10,8,15,23,9,3,4,11,1.8338373149219414,1.6139916421862925,2.1076907151091695
6,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,1.2430393407650995,1.1726217378139892,1.5011657398533327
6,12,4.0,5,17,7,3,8,6,5,16,7,3,4,8,1.305619883598546,1.37996601808031,1.334376755357498
6,13,6.0,8,16,6,3,7,5,8,15,6,3,4,7,1.6099985207335183,1.4465437988189436,1.7088505160209062
7,1,,10,12,6,2,7,6,10,12,6,2,4,7,13.998098667244887,6.6931059468314436,19.392863294038513
7,2,3.0,10,10,6,2,6,5,10,10,6,2,4,9,7.886077103372487,4.3630168690352615,9.611932917746284
7,3,3.0,7,13,6,2,6,5,7,12,6,2,4,10,5.97940399687034,3.501204332300544,6.81671128689984
7,4,4.0,15,17,8,2,8,7,15,17,8,2,4,9,6.969860716082076,3.7475416731522753,8.89940499471298
7,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,7.235945942151832,4.057378338523398,9.09037955598996
7,6,2.0,4,21,5,4,5,11,4,20,11,5,4,13,4.971541015092433,3.343372857933896,6.1454914363139395
7,7,4.0,6,23,7,2,13,10,6,21,7,2,4,10,5.882868890428861,4.390116592365001,7.1627847743580855
7,8,3.0,4,7,6,1,2,3,5,7,6,1,3,6,6.1333493401965695,3.5715658769779046,6.7969248999045915
7,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,6.418827715386423,4.031674976614396,6.809118519910601
7,10,4.0,15,23,9,3,10,8,15,23,9,3,4,11,8.242384532312267,4.34412587769984,11.336324642615487
7,11,3.0,10,27,11,2,5,6,10,27,11,2,4,12,8.130463279236833,4.3407279851650005,11.061608931781663
7,12,3.0,5,17,7,3,8,6,5,16,7,3,4,8,4.834595600296092,3.0516812207069277,7.73889494831802
7,13,2.0,8,16,6,3,7,5,8,15,6,3,4,7,8.303288352879287,4.431375679342424,11.304780421796327
8,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,3.9446027776323147,3.3953633846383684,3.617577626903847
8,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,3.917725069643094,3.7381837600768293,4.119686889728537
8,3,4.0,7,13,6,2,6,5,7,12,6,2,4,10,3.1481549265391346,2.7510611955645734,2.6006407955857367
8,4,7.0,15,17,8,2,8,7,15,17,8,2,4,9,3.592226181338427,3.143416493704516,2.9405778957421798
8,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,3.5581780434240198,2.967795889032023,3.526392767967275
8,6,6.0,4,21,5,4,5,11,4,20,11,5,4,13,3.12624739157258,3.5089707737103724,3.350109104818445
8,7,5.0,6,23,7,2,13,10,6,21,7,2,4,10,4.635316548208493,3.8819809525265407,5.096227191867697
8,8,4.0,4,7,6,1,2,3,5,7,6,1,3,6,5.272586995261961,3.8537117401231344,4.795245709153536
8,9,4.0,12,12,9,7,14,8,12,12,9,7,4,7,3.350748998513199,3.0828995306091844,3.1965372363802995
8,10,6.0,15,23,9,3,10,8,15,23,9,3,4,11,5.5262670983563105,3.9770732083892444,5.828891043997735
8,11,7.0,10,27,11,2,5,6,10,27,11,2,4,12,3.2874390398054985,3.266708200437312,3.078949378991527
8,12,5.0,5,17,7,3,8,6,5,16,7,3,4,8,4.53323812919387,3.3763463854784606,3.2930434884327457
8,13,5.0,8,16,6,3,7,5,8,15,6,3,4,7,4.247332693918536,4.073003519997108,3.869492149609138
9,1,8.0,10,12,6,2,7,6,10,12,6,2,4,7,4.5176623130071345,3.047574256122302,5.677187617824767
9,2,4.0,10,10,6,2,6,5,10,10,6,2,4,9,2.9096980490025555,1.842835648090034,3.9898643555803845
9,3,4.0,7,13,6,2,6,5,7,12,6,2,4,10,3.8235220436959176,2.4302028091400465,4.618574786335329
9,4,3.0,15,17,8,2,8,7,15,17,8,2,4,9,2.4749798405255334,1.5761848927273432,3.2723345241026602
9,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,2.4402738189776607,1.4331380755412324,3.4569995770864113
9,6,2.0,4,21,5,4,5,11,4,20,11,5,4,13,3.153930127965235,1.9949248212082564,4.376972417961979
9,7,4.0,6,23,7,2,13,10,6,21,7,2,4,10,3.247772936658158,1.941456139722969,4.696280371252591
9,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,17.166444049943138,7.185805609091659,24.997544432599696
9,9,1.0,12,12,9,7,14,8,12,12,9,7,4,7,21.304587143567666,8.216630895109846,29.491967661106465
9,10,9.0,15,23,9,3,10,8,15,23,9,3,4,11,22.616737452493318,8.795363288172611,38.16126966190074
9,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,,,
9,12,4.0,5,17,7,3,8,6,5,16,7,3,4,8,6.692262092286609,3.31650190643707,9.892952997317872
9,13,2.0,8,16,6,3,7,5,8,15,6,3,4,7,28.667621721510407,10.835544933667064,46.123582072613594
10,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,3.5838438824821996,2.3254864377855418,4.277797998463223
10,2,3.0,10,10,6,2,6,5,10,10,6,2,4,9,4.898533650970972,2.5703516944178038,6.14415702577196
10,3,2.0,7,13,6,2,6,5,7,12,6,2,4,10,5.461432913150358,2.5812064362455356,6.6888371957729005
10,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,4.157430982127059,2.426863967237204,4.706292437472653
10,5,4.0,15,18,9,3,10,5,15,18,9,3,5,10,2.9662419472813646,1.7936106958701732,3.0069335094811533
10,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,3.0037324814938633,1.744471278760319,3.6116066772163284
10,7,4.0,6,23,7,2,13,10,6,21,7,2,4,10,5.569276788586408,3.100006141331916,5.358839337077108
10,8,3.0,4,7,6,1,2,3,5,7,6,1,3,6,3.0394882511623957,1.722449949939375,3.9308166777926274
10,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,2.6280036336686288,2.2028436614680245,2.796134144674499
10,10,6.0,15,23,9,3,10,8,15,23,9,3,4,11,4.147961431358564,2.290533631118758,4.340944602579316
10,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,4.36892450658481,2.473799880966397,4.738593824345072
10,12,3.0,5,17,7,3,8,6,5,16,7,3,4,8,4.394536540943331,2.402424340267695,5.635744331902238
10,13,6.0,8,16,6,3,7,5,8,15,6,3,4,7,2.85042165206595,1.6589021734454323,3.6768862204373622
11,1,2.0,10,12,6,2,7,6,10,12,6,2,4,7,1.7208725633037385,1.2402489113294755,1.8354767660219136
11,2,2.0,10,10,6,2,6,5,10,10,6,2,4,9,2.4853872898915106,1.798194901421468,2.6310039953002677
11,3,2.0,7,13,6,2,6,5,7,12,6,2,4,10,4.308978520515079,2.5568269092797697,4.476800269136797
11,4,2.0,15,17,8,2,8,7,15,17,8,2,4,9,3.5231185232039737,2.1260956620904548,3.5347564142356234
