Program,ID,DD,Halstead,LOC,Cyclomatic,CCCP-PD,CCCP-MDI,DD-old,Halstead-old,LOC-old,Cyclomatic-old,CCCP-PD-old,CCCP-MPI-old
factorial,1,10,10,6,2,6,5,10,10,6,2,4,7
sum_of_three_digits,2,10,12,6,2,7,6,10,12,6,2,4,9
exponentiation,3,7,13,6,2,6,5,7,12,6,2,4,10
average_of_array,4,15,17,8,2,8,7,15,17,8,2,4,9
decimal_to_binary,5,15,18,9,3,10,5,15,18,9,3,5,10
intersection_of_rectangles,6,4,21,5,4,5,11,4,20,11,5,4,13
median_of_array,7,6,23,7,2,13,10,6,21,7,2,4,10
swap_variables,8,4,7,6,1,2,3,5,7,6,1,3,6
largest_of_three_numbers,9,12,12,9,7,14,8,12,12,9,7,4,7
reverse_array_output,10,15,23,9,3,10,8,15,23,9,3,4,11
intersection_of_two_circles,11,10,27,11,2,5,6,10,27,11,2,4,12
prime_check,12,5,17,7,3,8,6,5,16,7,3,4,8
largest_number_in_array,13,8,16,6,3,7,5,8,15,6,3,4,7